Generation	ConcentrationParm	Degree	Pi[A,1]	Pi[C,1]	Pi[G,1]	Pi[T,1]	Pi[A,2]	Pi[C,2]	Pi[G,2]	Pi[T,2]	Pi[A,3]	Pi[C,3]	Pi[G,3]	Pi[T,3]	Pi[A,4]	Pi[C,4]	Pi[G,4]	Pi[T,4]	Pi[A,5]	Pi[C,5]	Pi[G,5]	Pi[T,5]	Pi[A,6]	Pi[C,6]	Pi[G,6]	Pi[T,6]	Pi[A,7]	Pi[C,7]	Pi[G,7]	Pi[T,7]	Pi[A,8]	Pi[C,8]	Pi[G,8]	Pi[T,8]	Pi[A,9]	Pi[C,9]	Pi[G,9]	Pi[T,9]	Pi[A,10]	Pi[C,10]	Pi[G,10]	Pi[T,10]	Pi[A,11]	Pi[C,11]	Pi[G,11]	Pi[T,11]	
1000	4.627436	4	0.467493	0.283304	0.090257	0.158946	0.324035	0.260995	0.142174	0.272796	0.467493	0.283304	0.090257	0.158946	0.324035	0.260995	0.142174	0.272796	0.208263	0.493536	0.130636	0.167564	0.324035	0.260995	0.142174	0.272796	0.467493	0.283304	0.090257	0.158946	0.420165	0.237986	0.116823	0.225025	0.420165	0.237986	0.116823	0.225025	0.324035	0.260995	0.142174	0.272796	0.420165	0.237986	0.116823	0.225025	
2000	4.627436	3	0.456162	0.303391	0.071952	0.168495	0.260796	0.301976	0.146234	0.290994	0.456162	0.303391	0.071952	0.168495	0.366829	0.229864	0.133605	0.269703	0.260796	0.301976	0.146234	0.290994	0.260796	0.301976	0.146234	0.290994	0.456162	0.303391	0.071952	0.168495	0.366829	0.229864	0.133605	0.269703	0.456162	0.303391	0.071952	0.168495	0.260796	0.301976	0.146234	0.290994	0.366829	0.229864	0.133605	0.269703	
3000	4.627436	2	0.455394	0.296001	0.091706	0.156898	0.302877	0.294623	0.174283	0.228217	0.455394	0.296001	0.091706	0.156898	0.302877	0.294623	0.174283	0.228217	0.302877	0.294623	0.174283	0.228217	0.302877	0.294623	0.174283	0.228217	0.455394	0.296001	0.091706	0.156898	0.302877	0.294623	0.174283	0.228217	0.455394	0.296001	0.091706	0.156898	0.302877	0.294623	0.174283	0.228217	0.455394	0.296001	0.091706	0.156898	
4000	4.627436	3	0.392769	0.299977	0.078746	0.228509	0.295075	0.231098	0.178620	0.295207	0.392769	0.299977	0.078746	0.228509	0.295075	0.231098	0.178620	0.295207	0.301132	0.345570	0.110441	0.242857	0.301132	0.345570	0.110441	0.242857	0.392769	0.299977	0.078746	0.228509	0.301132	0.345570	0.110441	0.242857	0.392769	0.299977	0.078746	0.228509	0.301132	0.345570	0.110441	0.242857	0.295075	0.231098	0.178620	0.295207	
5000	4.627436	2	0.405433	0.324381	0.076271	0.193915	0.340123	0.254121	0.139469	0.266287	0.405433	0.324381	0.076271	0.193915	0.340123	0.254121	0.139469	0.266287	0.340123	0.254121	0.139469	0.266287	0.340123	0.254121	0.139469	0.266287	0.405433	0.324381	0.076271	0.193915	0.340123	0.254121	0.139469	0.266287	0.405433	0.324381	0.076271	0.193915	0.340123	0.254121	0.139469	0.266287	0.340123	0.254121	0.139469	0.266287	
6000	4.627436	2	0.429271	0.315468	0.070313	0.184948	0.272457	0.309145	0.163281	0.255118	0.429271	0.315468	0.070313	0.184948	0.272457	0.309145	0.163281	0.255118	0.272457	0.309145	0.163281	0.255118	0.272457	0.309145	0.163281	0.255118	0.429271	0.315468	0.070313	0.184948	0.272457	0.309145	0.163281	0.255118	0.429271	0.315468	0.070313	0.184948	0.272457	0.309145	0.163281	0.255118	0.272457	0.309145	0.163281	0.255118	
7000	4.627436	4	0.470301	0.256079	0.098122	0.175498	0.272457	0.309145	0.163281	0.255118	0.470301	0.256079	0.098122	0.175498	0.272457	0.309145	0.163281	0.255118	0.272457	0.309145	0.163281	0.255118	0.219692	0.368063	0.068193	0.344052	0.470301	0.256079	0.098122	0.175498	0.470301	0.256079	0.098122	0.175498	0.470301	0.256079	0.098122	0.175498	0.272457	0.309145	0.163281	0.255118	0.545331	0.098231	0.248287	0.108151	
8000	4.627436	4	0.378256	0.298384	0.100011	0.223349	0.261019	0.210764	0.232513	0.295704	0.421524	0.321617	0.089317	0.167541	0.261019	0.210764	0.232513	0.295704	0.282532	0.341396	0.141844	0.234227	0.282532	0.341396	0.141844	0.234227	0.421524	0.321617	0.089317	0.167541	0.378256	0.298384	0.100011	0.223349	0.378256	0.298384	0.100011	0.223349	0.378256	0.298384	0.100011	0.223349	0.261019	0.210764	0.232513	0.295704	
9000	4.627436	2	0.433888	0.303649	0.081405	0.181058	0.296131	0.275843	0.162942	0.265084	0.433888	0.303649	0.081405	0.181058	0.296131	0.275843	0.162942	0.265084	0.296131	0.275843	0.162942	0.265084	0.296131	0.275843	0.162942	0.265084	0.433888	0.303649	0.081405	0.181058	0.296131	0.275843	0.162942	0.265084	0.433888	0.303649	0.081405	0.181058	0.296131	0.275843	0.162942	0.265084	0.433888	0.303649	0.081405	0.181058	
10000	4.627436	4	0.433888	0.303649	0.081405	0.181058	0.161694	0.353170	0.168283	0.316852	0.433888	0.303649	0.081405	0.181058	0.306619	0.301068	0.134233	0.258080	0.306619	0.301068	0.134233	0.258080	0.161694	0.353170	0.168283	0.316852	0.433888	0.303649	0.081405	0.181058	0.306619	0.301068	0.134233	0.258080	0.306619	0.301068	0.134233	0.258080	0.306619	0.301068	0.134233	0.258080	0.191779	0.242059	0.311854	0.254308	
11000	4.627436	2	0.433888	0.303649	0.081405	0.181058	0.302468	0.301339	0.150320	0.245873	0.433888	0.303649	0.081405	0.181058	0.302468	0.301339	0.150320	0.245873	0.302468	0.301339	0.150320	0.245873	0.302468	0.301339	0.150320	0.245873	0.433888	0.303649	0.081405	0.181058	0.302468	0.301339	0.150320	0.245873	0.433888	0.303649	0.081405	0.181058	0.302468	0.301339	0.150320	0.245873	0.302468	0.301339	0.150320	0.245873	
12000	4.627436	2	0.456460	0.285790	0.069960	0.187790	0.301717	0.287617	0.143752	0.266914	0.456460	0.285790	0.069960	0.187790	0.301717	0.287617	0.143752	0.266914	0.301717	0.287617	0.143752	0.266914	0.301717	0.287617	0.143752	0.266914	0.456460	0.285790	0.069960	0.187790	0.301717	0.287617	0.143752	0.266914	0.301717	0.287617	0.143752	0.266914	0.301717	0.287617	0.143752	0.266914	0.301717	0.287617	0.143752	0.266914	
13000	4.627436	3	0.460306	0.299373	0.064431	0.175890	0.303414	0.223681	0.202221	0.270684	0.460306	0.299373	0.064431	0.175890	0.303414	0.223681	0.202221	0.270684	0.314275	0.329575	0.110289	0.245861	0.314275	0.329575	0.110289	0.245861	0.460306	0.299373	0.064431	0.175890	0.314275	0.329575	0.110289	0.245861	0.314275	0.329575	0.110289	0.245861	0.314275	0.329575	0.110289	0.245861	0.303414	0.223681	0.202221	0.270684	
14000	4.627436	3	0.429083	0.260972	0.109301	0.200644	0.351930	0.251085	0.139292	0.257693	0.429083	0.260972	0.109301	0.200644	0.351930	0.251085	0.139292	0.257693	0.328339	0.282675	0.117076	0.271911	0.328339	0.282675	0.117076	0.271911	0.429083	0.260972	0.109301	0.200644	0.328339	0.282675	0.117076	0.271911	0.328339	0.282675	0.117076	0.271911	0.328339	0.282675	0.117076	0.271911	0.429083	0.260972	0.109301	0.200644	
15000	4.627436	2	0.399124	0.315518	0.097974	0.187384	0.305301	0.282724	0.138231	0.273744	0.399124	0.315518	0.097974	0.187384	0.305301	0.282724	0.138231	0.273744	0.305301	0.282724	0.138231	0.273744	0.305301	0.282724	0.138231	0.273744	0.399124	0.315518	0.097974	0.187384	0.305301	0.282724	0.138231	0.273744	0.399124	0.315518	0.097974	0.187384	0.305301	0.282724	0.138231	0.273744	0.399124	0.315518	0.097974	0.187384	
16000	4.627436	4	0.452718	0.288782	0.079247	0.179253	0.352165	0.231049	0.164413	0.252373	0.452718	0.288782	0.079247	0.179253	0.352165	0.231049	0.164413	0.252373	0.262441	0.353021	0.123946	0.260592	0.262441	0.353021	0.123946	0.260592	0.452718	0.288782	0.079247	0.179253	0.372265	0.227391	0.111420	0.288924	0.452718	0.288782	0.079247	0.179253	0.352165	0.231049	0.164413	0.252373	0.352165	0.231049	0.164413	0.252373	
17000	4.627436	4	0.452718	0.288782	0.079247	0.179253	0.279229	0.238654	0.200074	0.282042	0.452718	0.288782	0.079247	0.179253	0.279229	0.238654	0.200074	0.282042	0.298669	0.313539	0.125714	0.262078	0.144468	0.447149	0.155362	0.253022	0.452718	0.288782	0.079247	0.179253	0.298669	0.313539	0.125714	0.262078	0.452718	0.288782	0.079247	0.179253	0.298669	0.313539	0.125714	0.262078	0.279229	0.238654	0.200074	0.282042	
18000	4.627436	3	0.462950	0.293556	0.071958	0.171536	0.278121	0.278545	0.153257	0.290078	0.462950	0.293556	0.071958	0.171536	0.278121	0.278545	0.153257	0.290078	0.369534	0.299377	0.109317	0.221771	0.278121	0.278545	0.153257	0.290078	0.462950	0.293556	0.071958	0.171536	0.369534	0.299377	0.109317	0.221771	0.369534	0.299377	0.109317	0.221771	0.369534	0.299377	0.109317	0.221771	0.278121	0.278545	0.153257	0.290078	
19000	4.627436	3	0.369534	0.299377	0.109317	0.221771	0.267480	0.259158	0.179052	0.294310	0.469060	0.304490	0.068229	0.158220	0.267480	0.259158	0.179052	0.294310	0.369534	0.299377	0.109317	0.221771	0.267480	0.259158	0.179052	0.294310	0.469060	0.304490	0.068229	0.158220	0.369534	0.299377	0.109317	0.221771	0.369534	0.299377	0.109317	0.221771	0.369534	0.299377	0.109317	0.221771	0.369534	0.299377	0.109317	0.221771	
20000	4.627436	2	0.381765	0.316956	0.087106	0.214173	0.254338	0.287324	0.155918	0.302420	0.381765	0.316956	0.087106	0.214173	0.254338	0.287324	0.155918	0.302420	0.381765	0.316956	0.087106	0.214173	0.254338	0.287324	0.155918	0.302420	0.381765	0.316956	0.087106	0.214173	0.381765	0.316956	0.087106	0.214173	0.381765	0.316956	0.087106	0.214173	0.381765	0.316956	0.087106	0.214173	0.381765	0.316956	0.087106	0.214173	
21000	4.627436	3	0.471469	0.278271	0.080791	0.169469	0.275336	0.280737	0.193916	0.250011	0.471469	0.278271	0.080791	0.169469	0.275336	0.280737	0.193916	0.250011	0.302645	0.305533	0.129976	0.261846	0.302645	0.305533	0.129976	0.261846	0.471469	0.278271	0.080791	0.169469	0.302645	0.305533	0.129976	0.261846	0.302645	0.305533	0.129976	0.261846	0.302645	0.305533	0.129976	0.261846	0.302645	0.305533	0.129976	0.261846	
22000	4.627436	4	0.379501	0.314880	0.080258	0.225361	0.304917	0.299017	0.125671	0.270395	0.477681	0.279422	0.079271	0.163626	0.304917	0.299017	0.125671	0.270395	0.304917	0.299017	0.125671	0.270395	0.304917	0.299017	0.125671	0.270395	0.477681	0.279422	0.079271	0.163626	0.304917	0.299017	0.125671	0.270395	0.379501	0.314880	0.080258	0.225361	0.304917	0.299017	0.125671	0.270395	0.389112	0.150719	0.313021	0.147148	
23000	4.627436	3	0.468188	0.294357	0.066014	0.171441	0.279583	0.251053	0.199214	0.270149	0.468188	0.294357	0.066014	0.171441	0.279583	0.251053	0.199214	0.270149	0.346411	0.310627	0.125200	0.217763	0.346411	0.310627	0.125200	0.217763	0.468188	0.294357	0.066014	0.171441	0.346411	0.310627	0.125200	0.217763	0.346411	0.310627	0.125200	0.217763	0.346411	0.310627	0.125200	0.217763	0.346411	0.310627	0.125200	0.217763	
24000	4.627436	4	0.448892	0.305847	0.071262	0.173999	0.297401	0.246653	0.194067	0.261879	0.448892	0.305847	0.071262	0.173999	0.297401	0.246653	0.194067	0.261879	0.296994	0.327696	0.124541	0.250768	0.296994	0.327696	0.124541	0.250768	0.448892	0.305847	0.071262	0.173999	0.296994	0.327696	0.124541	0.250768	0.448892	0.305847	0.071262	0.173999	0.296994	0.327696	0.124541	0.250768	0.314395	0.297719	0.265244	0.122642	
25000	4.627436	4	0.401754	0.270521	0.098609	0.229116	0.288722	0.235449	0.190352	0.285477	0.448892	0.305847	0.071262	0.173999	0.288722	0.235449	0.190352	0.285477	0.401754	0.270521	0.098609	0.229116	0.288722	0.235449	0.190352	0.285477	0.448892	0.305847	0.071262	0.173999	0.401754	0.270521	0.098609	0.229116	0.401754	0.270521	0.098609	0.229116	0.401754	0.270521	0.098609	0.229116	0.347165	0.094200	0.280826	0.277810	
26000	4.627436	4	0.366014	0.289380	0.107635	0.236971	0.258560	0.285479	0.158158	0.297803	0.471128	0.303077	0.062359	0.163436	0.258560	0.285479	0.158158	0.297803	0.366014	0.289380	0.107635	0.236971	0.258560	0.285479	0.158158	0.297803	0.471128	0.303077	0.062359	0.163436	0.366014	0.289380	0.107635	0.236971	0.366014	0.289380	0.107635	0.236971	0.366014	0.289380	0.107635	0.236971	0.391956	0.268586	0.207041	0.132417	
27000	4.627436	3	0.366014	0.289380	0.107635	0.236971	0.258560	0.285479	0.158158	0.297803	0.413367	0.344679	0.056194	0.185760	0.258560	0.285479	0.158158	0.297803	0.366014	0.289380	0.107635	0.236971	0.258560	0.285479	0.158158	0.297803	0.413367	0.344679	0.056194	0.185760	0.366014	0.289380	0.107635	0.236971	0.366014	0.289380	0.107635	0.236971	0.366014	0.289380	0.107635	0.236971	0.258560	0.285479	0.158158	0.297803	
28000	4.627436	3	0.377269	0.279936	0.121741	0.221054	0.261128	0.276217	0.176443	0.286212	0.485570	0.285591	0.063484	0.165355	0.261128	0.276217	0.176443	0.286212	0.377269	0.279936	0.121741	0.221054	0.261128	0.276217	0.176443	0.286212	0.485570	0.285591	0.063484	0.165355	0.377269	0.279936	0.121741	0.221054	0.377269	0.279936	0.121741	0.221054	0.377269	0.279936	0.121741	0.221054	0.261128	0.276217	0.176443	0.286212	
29000	4.627436	4	0.387484	0.268156	0.114664	0.229696	0.252911	0.264795	0.172522	0.309772	0.485570	0.285591	0.063484	0.165355	0.252911	0.264795	0.172522	0.309772	0.387484	0.268156	0.114664	0.229696	0.252911	0.264795	0.172522	0.309772	0.485570	0.285591	0.063484	0.165355	0.387484	0.268156	0.114664	0.229696	0.387484	0.268156	0.114664	0.229696	0.387484	0.268156	0.114664	0.229696	0.162883	0.089205	0.274129	0.473783	
30000	4.627436	3	0.382068	0.278728	0.114804	0.224400	0.274903	0.274182	0.167803	0.283112	0.473609	0.303815	0.066170	0.156405	0.274903	0.274182	0.167803	0.283112	0.382068	0.278728	0.114804	0.224400	0.274903	0.274182	0.167803	0.283112	0.473609	0.303815	0.066170	0.156405	0.382068	0.278728	0.114804	0.224400	0.382068	0.278728	0.114804	0.224400	0.382068	0.278728	0.114804	0.224400	0.382068	0.278728	0.114804	0.224400	
31000	4.627436	3	0.384226	0.291849	0.118350	0.205575	0.321576	0.255651	0.168889	0.253883	0.474987	0.293313	0.070444	0.161256	0.321576	0.255651	0.168889	0.253883	0.384226	0.291849	0.118350	0.205575	0.321576	0.255651	0.168889	0.253883	0.474987	0.293313	0.070444	0.161256	0.321576	0.255651	0.168889	0.253883	0.384226	0.291849	0.118350	0.205575	0.384226	0.291849	0.118350	0.205575	0.321576	0.255651	0.168889	0.253883	
32000	4.627436	3	0.384226	0.291849	0.118350	0.205575	0.244850	0.290597	0.185074	0.279479	0.474987	0.293313	0.070444	0.161256	0.244850	0.290597	0.185074	0.279479	0.384226	0.291849	0.118350	0.205575	0.244850	0.290597	0.185074	0.279479	0.474987	0.293313	0.070444	0.161256	0.384226	0.291849	0.118350	0.205575	0.384226	0.291849	0.118350	0.205575	0.384226	0.291849	0.118350	0.205575	0.384226	0.291849	0.118350	0.205575	
33000	4.627436	4	0.384226	0.291849	0.118350	0.205575	0.199281	0.252057	0.285473	0.263188	0.454601	0.320978	0.067773	0.156648	0.348955	0.241918	0.149379	0.259749	0.384226	0.291849	0.118350	0.205575	0.199281	0.252057	0.285473	0.263188	0.454601	0.320978	0.067773	0.156648	0.384226	0.291849	0.118350	0.205575	0.384226	0.291849	0.118350	0.205575	0.348955	0.241918	0.149379	0.259749	0.384226	0.291849	0.118350	0.205575	
34000	4.627436	3	0.380714	0.277384	0.126385	0.215517	0.250475	0.260132	0.164415	0.324978	0.469671	0.307137	0.051928	0.171265	0.250475	0.260132	0.164415	0.324978	0.380714	0.277384	0.126385	0.215517	0.250475	0.260132	0.164415	0.324978	0.469671	0.307137	0.051928	0.171265	0.380714	0.277384	0.126385	0.215517	0.380714	0.277384	0.126385	0.215517	0.380714	0.277384	0.126385	0.215517	0.380714	0.277384	0.126385	0.215517	
35000	4.627436	5	0.364005	0.310401	0.119656	0.205938	0.284701	0.246785	0.171431	0.297083	0.364005	0.310401	0.119656	0.205938	0.337192	0.209288	0.216105	0.237415	0.364005	0.310401	0.119656	0.205938	0.106674	0.343549	0.221211	0.328566	0.364005	0.310401	0.119656	0.205938	0.364005	0.310401	0.119656	0.205938	0.364005	0.310401	0.119656	0.205938	0.284701	0.246785	0.171431	0.297083	0.302352	0.143859	0.293311	0.260478	
36000	4.627436	2	0.471916	0.274026	0.098921	0.155137	0.289161	0.236189	0.195876	0.278774	0.471916	0.274026	0.098921	0.155137	0.289161	0.236189	0.195876	0.278774	0.471916	0.274026	0.098921	0.155137	0.289161	0.236189	0.195876	0.278774	0.471916	0.274026	0.098921	0.155137	0.289161	0.236189	0.195876	0.278774	0.471916	0.274026	0.098921	0.155137	0.289161	0.236189	0.195876	0.278774	0.289161	0.236189	0.195876	0.278774	
37000	4.627436	3	0.441039	0.302136	0.081945	0.174880	0.268611	0.275011	0.179999	0.276379	0.441039	0.302136	0.081945	0.174880	0.268611	0.275011	0.179999	0.276379	0.361198	0.259263	0.184865	0.194674	0.268611	0.275011	0.179999	0.276379	0.441039	0.302136	0.081945	0.174880	0.361198	0.259263	0.184865	0.194674	0.441039	0.302136	0.081945	0.174880	0.268611	0.275011	0.179999	0.276379	0.361198	0.259263	0.184865	0.194674	
38000	4.627436	4	0.450083	0.282437	0.092431	0.175049	0.292287	0.276264	0.183443	0.248006	0.450083	0.282437	0.092431	0.175049	0.292287	0.276264	0.183443	0.248006	0.292287	0.276264	0.183443	0.248006	0.107376	0.426856	0.133228	0.332540	0.450083	0.282437	0.092431	0.175049	0.292287	0.276264	0.183443	0.248006	0.450083	0.282437	0.092431	0.175049	0.292287	0.276264	0.183443	0.248006	0.381395	0.070049	0.270510	0.278047	
39000	4.627436	3	0.478112	0.267966	0.087758	0.166164	0.297265	0.276038	0.182795	0.243902	0.478112	0.267966	0.087758	0.166164	0.369453	0.220068	0.186253	0.224226	0.297265	0.276038	0.182795	0.243902	0.297265	0.276038	0.182795	0.243902	0.478112	0.267966	0.087758	0.166164	0.369453	0.220068	0.186253	0.224226	0.478112	0.267966	0.087758	0.166164	0.297265	0.276038	0.182795	0.243902	0.369453	0.220068	0.186253	0.224226	
40000	4.627436	3	0.439717	0.286050	0.088170	0.186063	0.282285	0.309598	0.186902	0.221215	0.439717	0.286050	0.088170	0.186063	0.350299	0.233312	0.153921	0.262468	0.282285	0.309598	0.186902	0.221215	0.282285	0.309598	0.186902	0.221215	0.439717	0.286050	0.088170	0.186063	0.350299	0.233312	0.153921	0.262468	0.439717	0.286050	0.088170	0.186063	0.350299	0.233312	0.153921	0.262468	0.282285	0.309598	0.186902	0.221215	
41000	4.627436	4	0.439717	0.286050	0.088170	0.186063	0.190284	0.330046	0.227981	0.251690	0.439717	0.286050	0.088170	0.186063	0.335978	0.282696	0.134623	0.246703	0.335978	0.282696	0.134623	0.246703	0.190284	0.330046	0.227981	0.251690	0.439717	0.286050	0.088170	0.186063	0.335978	0.282696	0.134623	0.246703	0.439717	0.286050	0.088170	0.186063	0.335978	0.282696	0.134623	0.246703	0.422356	0.155043	0.301010	0.121591	
42000	4.627436	4	0.391032	0.319329	0.075066	0.214574	0.255173	0.247919	0.224073	0.272836	0.391032	0.319329	0.075066	0.214574	0.306700	0.293171	0.149024	0.251105	0.306700	0.293171	0.149024	0.251105	0.147940	0.486403	0.104380	0.261276	0.391032	0.319329	0.075066	0.214574	0.306700	0.293171	0.149024	0.251105	0.391032	0.319329	0.075066	0.214574	0.391032	0.319329	0.075066	0.214574	0.255173	0.247919	0.224073	0.272836	
43000	4.627436	4	0.420245	0.304365	0.084290	0.191099	0.310236	0.285724	0.164342	0.239698	0.420245	0.304365	0.084290	0.191099	0.310236	0.285724	0.164342	0.239698	0.310236	0.285724	0.164342	0.239698	0.101914	0.269882	0.121732	0.506472	0.420245	0.304365	0.084290	0.191099	0.310236	0.285724	0.164342	0.239698	0.420245	0.304365	0.084290	0.191099	0.310236	0.285724	0.164342	0.239698	0.516012	0.104368	0.256769	0.122851	
44000	4.627436	3	0.420245	0.304365	0.084290	0.191099	0.271580	0.297915	0.184079	0.246426	0.420245	0.304365	0.084290	0.191099	0.271580	0.297915	0.184079	0.246426	0.271580	0.297915	0.184079	0.246426	0.263997	0.336739	0.094477	0.304788	0.420245	0.304365	0.084290	0.191099	0.420245	0.304365	0.084290	0.191099	0.420245	0.304365	0.084290	0.191099	0.263997	0.336739	0.094477	0.304788	0.271580	0.297915	0.184079	0.246426	
45000	4.627436	2	0.414947	0.284677	0.111925	0.188451	0.268155	0.318559	0.164388	0.248898	0.414947	0.284677	0.111925	0.188451	0.268155	0.318559	0.164388	0.248898	0.268155	0.318559	0.164388	0.248898	0.268155	0.318559	0.164388	0.248898	0.414947	0.284677	0.111925	0.188451	0.414947	0.284677	0.111925	0.188451	0.414947	0.284677	0.111925	0.188451	0.268155	0.318559	0.164388	0.248898	0.414947	0.284677	0.111925	0.188451	
46000	4.627436	3	0.486865	0.267708	0.082594	0.162834	0.264126	0.293640	0.176466	0.265769	0.486865	0.267708	0.082594	0.162834	0.264126	0.293640	0.176466	0.265769	0.264126	0.293640	0.176466	0.265769	0.264126	0.293640	0.176466	0.265769	0.486865	0.267708	0.082594	0.162834	0.264126	0.293640	0.176466	0.265769	0.451647	0.186041	0.124338	0.237974	0.264126	0.293640	0.176466	0.265769	0.264126	0.293640	0.176466	0.265769	
47000	4.627436	2	0.450587	0.295766	0.079028	0.174620	0.284931	0.304930	0.161119	0.249020	0.450587	0.295766	0.079028	0.174620	0.284931	0.304930	0.161119	0.249020	0.284931	0.304930	0.161119	0.249020	0.284931	0.304930	0.161119	0.249020	0.450587	0.295766	0.079028	0.174620	0.284931	0.304930	0.161119	0.249020	0.284931	0.304930	0.161119	0.249020	0.284931	0.304930	0.161119	0.249020	0.284931	0.304930	0.161119	0.249020	
48000	4.627436	3	0.439547	0.303242	0.080267	0.176944	0.275461	0.240427	0.219985	0.264128	0.439547	0.303242	0.080267	0.176944	0.275461	0.240427	0.219985	0.264128	0.274279	0.307979	0.169685	0.248057	0.274279	0.307979	0.169685	0.248057	0.439547	0.303242	0.080267	0.176944	0.439547	0.303242	0.080267	0.176944	0.439547	0.303242	0.080267	0.176944	0.274279	0.307979	0.169685	0.248057	0.275461	0.240427	0.219985	0.264128	
49000	4.627436	3	0.363130	0.284353	0.098834	0.253683	0.284866	0.294009	0.170892	0.250233	0.440115	0.312418	0.076723	0.170744	0.284866	0.294009	0.170892	0.250233	0.284866	0.294009	0.170892	0.250233	0.284866	0.294009	0.170892	0.250233	0.440115	0.312418	0.076723	0.170744	0.284866	0.294009	0.170892	0.250233	0.363130	0.284353	0.098834	0.253683	0.284866	0.294009	0.170892	0.250233	0.284866	0.294009	0.170892	0.250233	
50000	4.627436	3	0.384314	0.265992	0.096335	0.253359	0.263620	0.311986	0.149713	0.274681	0.461121	0.306602	0.067296	0.164981	0.263620	0.311986	0.149713	0.274681	0.263620	0.311986	0.149713	0.274681	0.263620	0.311986	0.149713	0.274681	0.461121	0.306602	0.067296	0.164981	0.384314	0.265992	0.096335	0.253359	0.384314	0.265992	0.096335	0.253359	0.384314	0.265992	0.096335	0.253359	0.263620	0.311986	0.149713	0.274681	
51000	4.627436	2	0.422951	0.307591	0.077094	0.192364	0.280854	0.307381	0.144485	0.267279	0.422951	0.307591	0.077094	0.192364	0.280854	0.307381	0.144485	0.267279	0.280854	0.307381	0.144485	0.267279	0.280854	0.307381	0.144485	0.267279	0.422951	0.307591	0.077094	0.192364	0.280854	0.307381	0.144485	0.267279	0.280854	0.307381	0.144485	0.267279	0.280854	0.307381	0.144485	0.267279	0.280854	0.307381	0.144485	0.267279	
52000	4.627436	2	0.418006	0.318771	0.061079	0.202144	0.265342	0.330236	0.131565	0.272857	0.418006	0.318771	0.061079	0.202144	0.265342	0.330236	0.131565	0.272857	0.265342	0.330236	0.131565	0.272857	0.265342	0.330236	0.131565	0.272857	0.418006	0.318771	0.061079	0.202144	0.265342	0.330236	0.131565	0.272857	0.418006	0.318771	0.061079	0.202144	0.265342	0.330236	0.131565	0.272857	0.265342	0.330236	0.131565	0.272857	
53000	4.627436	3	0.431755	0.316571	0.063460	0.188214	0.300883	0.301575	0.142116	0.255427	0.431755	0.316571	0.063460	0.188214	0.300883	0.301575	0.142116	0.255427	0.300883	0.301575	0.142116	0.255427	0.300883	0.301575	0.142116	0.255427	0.431755	0.316571	0.063460	0.188214	0.300883	0.301575	0.142116	0.255427	0.431755	0.316571	0.063460	0.188214	0.300883	0.301575	0.142116	0.255427	0.567172	0.052535	0.244605	0.135688	
54000	4.627436	3	0.354665	0.303196	0.091671	0.250468	0.244827	0.283111	0.186676	0.285386	0.354665	0.303196	0.091671	0.250468	0.325625	0.256902	0.170090	0.247383	0.325625	0.256902	0.170090	0.247383	0.244827	0.283111	0.186676	0.285386	0.354665	0.303196	0.091671	0.250468	0.354665	0.303196	0.091671	0.250468	0.354665	0.303196	0.091671	0.250468	0.354665	0.303196	0.091671	0.250468	0.354665	0.303196	0.091671	0.250468	
55000	4.627436	3	0.402452	0.324448	0.080691	0.192409	0.232328	0.221103	0.247206	0.299363	0.402452	0.324448	0.080691	0.192409	0.289550	0.269885	0.152137	0.288428	0.289550	0.269885	0.152137	0.288428	0.289550	0.269885	0.152137	0.288428	0.402452	0.324448	0.080691	0.192409	0.289550	0.269885	0.152137	0.288428	0.402452	0.324448	0.080691	0.192409	0.289550	0.269885	0.152137	0.288428	0.402452	0.324448	0.080691	0.192409	
56000	4.627436	3	0.405300	0.329398	0.092679	0.172623	0.262959	0.293873	0.160551	0.282617	0.405300	0.329398	0.092679	0.172623	0.262959	0.293873	0.160551	0.282617	0.262959	0.293873	0.160551	0.282617	0.262959	0.293873	0.160551	0.282617	0.405300	0.329398	0.092679	0.172623	0.262959	0.293873	0.160551	0.282617	0.405300	0.329398	0.092679	0.172623	0.262959	0.293873	0.160551	0.282617	0.281399	0.299461	0.212359	0.206782	
57000	4.627436	4	0.339351	0.314809	0.140532	0.205308	0.162365	0.299888	0.214903	0.322843	0.425174	0.322815	0.075769	0.176243	0.270690	0.306052	0.144468	0.278789	0.339351	0.314809	0.140532	0.205308	0.270690	0.306052	0.144468	0.278789	0.425174	0.322815	0.075769	0.176243	0.339351	0.314809	0.140532	0.205308	0.339351	0.314809	0.140532	0.205308	0.270690	0.306052	0.144468	0.278789	0.270690	0.306052	0.144468	0.278789	
58000	4.627436	3	0.393673	0.307092	0.094936	0.204299	0.315277	0.201569	0.237460	0.245694	0.393673	0.307092	0.094936	0.204299	0.288094	0.269624	0.166671	0.275611	0.288094	0.269624	0.166671	0.275611	0.288094	0.269624	0.166671	0.275611	0.393673	0.307092	0.094936	0.204299	0.288094	0.269624	0.166671	0.275611	0.393673	0.307092	0.094936	0.204299	0.288094	0.269624	0.166671	0.275611	0.315277	0.201569	0.237460	0.245694	
